--- Telegram Scrape Report ---
Timestamp: 2026-03-06 05:38:12
Total Channels: 91
Successful Scrapes: 34
Failed Scrapes: 0

--- Channels with Found Configs ---
anty_filter: 30 configs
azarbayjab1: 30 configs
bored_vpn: 30 configs
freakconfig: 30 configs
itenvpn: 30 configs
masterserver1: 30 configs
sockss_http: 30 configs
v2ngfast: 30 configs
WedBaZtel: 30 configs
config_dooni: 30 configs
GalaxyMVPN: 30 configs
Greenvpn2: 22 configs
Farah_VPN: 20 configs
WarV2Ray: 17 configs
v2ray_god: 14 configs
v2ray_configs_pool: 9 configs
arv2ray: 8 configs
mcv2rayng: 8 configs
capoit: 7 configs
expressvpn_420: 5 configs
fnet00: 4 configs
freev2rng: 4 configs
ghalagyann: 4 configs
spikevpn: 4 configs
vpnod: 3 configs
v2ray_rolly: 2 configs
v2raymelliii: 2 configs
colsvpn: 1 configs
ineronix: 1 configs
skivpn: 1 configs
tehranargo: 1 configs
v2rayyngvpn: 1 configs
vmessorg: 1 configs
Movie_Centrall: 1 configs

--- Failed Channels ---
